model,n_estimators,max_samples,base_max_depth,base_min_samples_leaf,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std
Bagging trees=50 samples=0.8 depth=None leaf=10,50,0.8,,10,0.7999673759379418,0.015544226988133458,0.8549433209387978,0.0016639676602039054,0.7053329720592221,0.020139545977001284,0.7825406218037664,0.0052536103454225444,0.6621219880700345,0.04010943883847047,0.7823568051093663,0.005783193045210674,0.5036789297658862,0.03184115113153686,0.6282608695652174,0.013446729426738867,0.5719005700199935,0.033367185337542286,0.6967628280612923,0.006600160601298579,0.8421697206461414,0.010563274135357424,0.9221374620715055,0.0007231301025176238,0.6587702106861999,0.01985353302551507,0.8155798362672808,0.0017227965254318575
Bagging trees=200 samples=1.0 depth=None leaf=10,200,1.0,,10,0.8022740704900387,0.011915800848048455,0.8635962317514961,0.003132844697065134,0.7094671229325034,0.014585657434062382,0.7921685402284492,0.005717784583334663,0.6664864992862152,0.0326898013308194,0.8062700492054535,0.011295994082446786,0.5117056856187291,0.023074499412254618,0.6399665551839465,0.01357093215068461,0.5786810423842358,0.024081473199018825,0.7134043330502468,0.007911934379227714,0.842226670355992,0.009154028850415727,0.9309446468154897,0.0008390178272387072,0.6575269402467201,0.017719559612456515,0.8346570580616319,0.001834915271428256
Bagging trees=100 samples=1.0 depth=None leaf=10,100,1.0,,10,0.8015640637288198,0.01220596798757184,0.8640399465368768,0.002473570688103769,0.7089843232199051,0.015380711079293993,0.7931649079209746,0.005436808389500502,0.6644957995991495,0.03438873793477386,0.806278782640562,0.009764998478418723,0.5117056856187292,0.026755852842809347,0.6421404682274248,0.013677662238580968,0.5777273746761041,0.025008118875625606,0.714753932104406,0.0070434001660652145,0.8423074368643111,0.008698839364750589,0.9304602886745588,0.0006189147245957908,0.6569552990854881,0.017288980874388363,0.8337302723904788,0.0013806331208413801
Bagging trees=50 samples=1.0 depth=None leaf=10,50,1.0,,10,0.8006761218658441,0.012043923585436829,0.8628861955640728,0.0029665276973215413,0.7066710567762037,0.01585711325036872,0.7909375943122152,0.006746345604060729,0.6638245884656456,0.03368451815464432,0.8052678663612476,0.007986906544743131,0.5063545150501673,0.028739198741057955,0.6376254180602007,0.015816604786389077,0.5739880575011743,0.025837189869325226,0.7115490886680819,0.008919354262946952,0.8427316848512072,0.011120899022504228,0.9298099406384976,0.0006136820996654957,0.6563245542714707,0.02011081412651455,0.8319872493249345,0.0020129386594210123
Bagging trees=200 samples=0.632 depth=None leaf=1,200,0.632,,1,0.7946403551767454,0.01116362246138553,0.9845579753785346,0.0012289051348179719,0.6991443667525367,0.01629231519718165,0.9736803774531276,0.002230898329250865,0.64782413651981,0.026504928289772293,0.9909403377448516,0.0020779195849319142,0.49565217391304345,0.029567941277993753,0.9505016722408026,0.004530507419446172,0.5613268290350772,0.02635633650580013,0.970292531425024,0.002416404892872946,0.8290730764610321,0.008745054749778942,0.9993659110729493,8.766094072067479e-05,0.6362322246277019,0.018821353046738917,0.9981836337627878,0.00027293681819167884
Bagging trees=200 samples=0.8 depth=None leaf=1,200,0.8,,1,0.7916234962592652,0.011862710773824522,0.9979144735715261,0.00043463181310377696,0.698372693788287,0.016814898492017404,0.9968713976171003,0.0008169137181052585,0.6368345639888904,0.027695101370568926,0.9974858814016688,0.0009133617611273087,0.49966555183946487,0.029048897325228692,0.9946488294314382,0.0017216772811014995,0.5597762475537194,0.0270575015387048,0.9960641018732813,0.0008232133386057587,0.8262385926947179,0.00837967424851751,0.9998758382058928,3.732558449510625e-05,0.6327116513959482,0.020671014074624326,0.9996561646494783,0.00011798782257528215
Bagging trees=100 samples=0.632 depth=None leaf=1,100,0.632,,1,0.7921558831270558,0.012087836336671279,0.9816737406802275,0.0009055876117078169,0.6974533994590774,0.015395941151906685,0.9689399663363263,0.002118061743983777,0.6403827453585011,0.030585185853289103,0.9886075603101325,0.0026200093779795864,0.49565217391304345,0.025152636357141343,0.9418060200668897,0.004892554795427353,0.5585606416588115,0.02507251905501309,0.9646263533286895,0.0018430766731329618,0.827216817763136,0.009065444516757719,0.9990591272163429,0.00015365021582114334,0.6317906959923041,0.019237522562607856,0.9972283214526133,0.0004748341986604485
Bagging trees=100 samples=0.8 depth=None leaf=1,100,0.8,,1,0.7894934759756093,0.009974990896033872,0.9965832898405695,0.0007885799812898803,0.6935044689697442,0.014169982336230376,0.994363036413087,0.0016196835998925922,0.6340632093131233,0.02378138899988062,0.9974740003686596,0.0007465849791307971,0.4889632107023411,0.024974120003470848,0.9896321070234114,0.003410715393707546,0.5519604696602661,0.02296360235026367,0.9935336586545717,0.0015034411959959713,0.82401563696414,0.008277316050175426,0.9998408652428277,2.8866673494942407e-05,0.6261506728005382,0.019071682765395614,0.9995619563839437,9.861756917164059e-05
Bagging trees=200 samples=1.0 depth=None leaf=1,200,1.0,,1,0.7859442301903387,0.011652246685623778,0.9983138227845908,0.0002261495268416135,0.6923706232023357,0.01718857542171461,0.9975705145320918,0.00021162795776565274,0.6218092848844189,0.026460276365475356,0.9976556415223177,0.0008193111579234164,0.49297658862876254,0.03055033377035245,0.9959866220735785,0.00033444816053513905,0.5497433249160226,0.0275606487855238,0.9968202231493842,0.0004257490537810834,0.8219073445413096,0.008428532030374662,0.9999483109832827,1.7129555740656044e-05,0.6251461541168151,0.018946365160667278,0.9998567382677155,5.002978528079791e-05
Bagging trees=100 samples=1.0 depth=None leaf=1,100,1.0,,1,0.7891385513970821,0.009833785641453272,0.9983138227845908,0.0002261495268416135,0.6964679052437319,0.01721520222040474,0.9977307344660732,0.0004038780317256183,0.629469855631845,0.021247086650555275,0.9971555092864619,0.00040824590830817895,0.49899665551839467,0.0356089141249663,0.9964882943143811,0.0008192273387234568,0.5561996199360557,0.026924724928030875,0.9968215527219687,0.00042749502819236377,0.8208983231602398,0.009074540925425803,0.9999367972744956,2.0246444833605995e-05,0.6218916414706919,0.019441342435159263,0.9998285767863369,5.530456150088733e-05
Bagging trees=50 samples=0.632 depth=None leaf=1,50,0.632,,1,0.7898496613874524,0.010888979766501668,0.977325117253276,0.0013642252612322688,0.6935333619117332,0.012957517856358455,0.962081219392898,0.0021745566341316146,0.635990955572502,0.029971480204618137,0.9840839740202592,0.0036517324894941167,0.48829431438127086,0.020288629950639604,0.929598662207358,0.0043734772008769286,0.5522210780114571,0.021443283987072737,0.9560559231830373,0.0026697256456339634,0.8243369031716806,0.01256271364327661,0.9983590211949995,0.0002286035164629803,0.6217160986297854,0.021260641950503017,0.9949946551545296,0.0007212249443401529
Bagging trees=50 samples=0.8 depth=None leaf=1,50,0.8,,1,0.7887845724435423,0.01095721141754384,0.9930777304120634,0.0004304187413249236,0.6930216692571458,0.012205490144047062,0.9885588487459064,0.000932322741096184,0.6323968323858506,0.02925862280731309,0.9949064188040577,0.0015957102003633422,0.4889632107023411,0.01630241820328285,0.9789297658862877,0.0022058371167680436,0.5513941684230851,0.020299807398753294,0.9868503404624663,0.0008262928248241068,0.8204715036448498,0.009747072129772579,0.9997019309080377,3.899441391468553e-05,0.6179145710629074,0.015921383291179453,0.9991543902177973,0.00010045378275137993
Bagging trees=50 samples=1.0 depth=None leaf=1,50,1.0,,1,0.7855893056118115,0.007658628479537458,0.9978257030520797,0.0003549910779054716,0.6893517376431,0.01211308270090399,0.9967041735368326,0.0006217890231258965,0.6237849880497393,0.019630395557942455,0.9974839211470158,0.0005296995880836644,0.48428093645484954,0.024794318385084464,0.994314381270903,0.0012288410080852085,0.5449515330458155,0.01970411987182679,0.9958961809636797,0.0006713942263917173,0.8179701449107346,0.010294231852070276,0.9999131354716706,2.6387461815641453e-05,0.6156314246867093,0.018613418290693504,0.9997671516354757,6.834405622498361e-05
