model,family,colsample_bytree,learning_rate,min_child_samples,n_estimators,num_leaves,reg_lambda,subsample,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std,fit_time_mean,score_time_mean
LightGBM native trees=200 lr=0.03 leaves=31 child=10 sub=1.0 col=0.8 l2=1.0,LightGBM native categorical,0.8,0.03,10,200,31,1.0,1.0,0.8013859710228983,0.013143618702604918,0.862309177343968,0.0018233233681556665,0.7122808933176421,0.018895064289505135,0.796420165751561,0.0026204377924511626,0.6584765766942221,0.03063576918020089,0.7896579809040929,0.008594235291214647,0.5224080267558529,0.03293253143837101,0.6560200668896321,0.007619254682203696,0.5823582552884998,0.030389697120172584,0.7165867880210917,0.003410907962004255,0.8448616323279452,0.009831083381767096,0.931782538130834,0.0009347331958094433,0.6587599806634906,0.02227554849073078,0.8299958279191794,0.0024525854641027005,0.2713759422302246,0.08772621154785157
LightGBM native trees=100 lr=0.1 leaves=15 child=25 sub=1.0 col=1.0 l2=1.0,LightGBM native categorical,1.0,0.1,25,100,15,1.0,1.0,0.8045818682712872,0.014552753218892236,0.8478438449978924,0.005041907124139598,0.7174471355770973,0.01938532650407681,0.7768006814834421,0.009312082992481718,0.6652267347277931,0.03654702611480304,0.7587105524910404,0.007728629810065527,0.5317725752508362,0.032632270013780496,0.6254180602006689,0.018808063343147132,0.5907161938290695,0.031224871769059314,0.685538922566369,0.013418773239000066,0.8453847032024356,0.010867293958986404,0.9146984416534384,0.0022019134198039427,0.6587274847888998,0.022176515554439096,0.794028336202956,0.004759128909420033,0.11227850914001465,0.06919960975646973
LightGBM native trees=100 lr=0.03 leaves=31 child=25 sub=1.0 col=1.0 l2=0.0,LightGBM native categorical,1.0,0.03,25,100,31,0.0,1.0,0.8006765946783378,0.010589392880469074,0.8426518031991643,0.002396477018313237,0.7043206294257764,0.013234862931718288,0.7631188740200369,0.0037368339130004332,0.6667923875621536,0.030391434272871908,0.7609196203031907,0.007651116989882643,0.49899665551839456,0.022425491122729364,0.5936454849498328,0.008344464849414479,0.5705189093721258,0.021945640935825312,0.666897269411928,0.005605905706098591,0.8443871015569231,0.008566940757215105,0.9057680836803496,0.001050317558587456,0.6586775975740851,0.02404575014819911,0.7817334886683741,0.0027605809556913554,0.17777299880981445,0.09603438377380372
LightGBM native trees=100 lr=0.1 leaves=15 child=10 sub=1.0 col=1.0 l2=1.0,LightGBM native categorical,1.0,0.1,10,100,15,1.0,1.0,0.8024518479876311,0.011373459232979501,0.8501067549660007,0.003421510355823856,0.7136465566398271,0.017760020390939366,0.7795159143743573,0.007236997675372508,0.6608669650749043,0.02562787201055104,0.7643542036362483,0.0056797103013217585,0.5244147157190635,0.03313569518796208,0.6290969899665553,0.01593988494286615,0.5844964946234682,0.028558125165851943,0.6900474888561835,0.009987387160751118,0.8451596043458469,0.009572894396947897,0.9167254356262109,0.0019940720822872737,0.6585422766998903,0.022124498904304665,0.7999438567806549,0.0034855519184683026,0.12190680503845215,0.08359627723693848
LightGBM native trees=100 lr=0.1 leaves=15 child=25 sub=0.8 col=0.8 l2=0.0,LightGBM native categorical,0.8,0.1,25,100,15,0.0,0.8,0.7990797492832951,0.010623813975070688,0.8517485469216869,0.0029792928905117617,0.7087880601602279,0.012441837960605912,0.7818617786830628,0.005606812552671267,0.6541595570579342,0.02836827221432094,0.7676344150282937,0.006369757452735462,0.5163879598662207,0.017898445699344005,0.632943143812709,0.012070289252587674,0.5770480593318905,0.020590184306815574,0.6937429511166486,0.007932425492831068,0.8421571223544099,0.011493311855675151,0.9197536941780688,0.001488035524551864,0.658456153460597,0.022130587559077073,0.8018970541057842,0.004279929002998002,0.11962265968322754,0.06951031684875489
LightGBM native trees=100 lr=0.1 leaves=15 child=10 sub=0.8 col=0.8 l2=1.0,LightGBM native categorical,0.8,0.1,10,100,15,1.0,0.8,0.8010327800901811,0.012442510923442607,0.8508165942793514,0.0017677610724304979,0.714176683710357,0.014060997237353615,0.779625202204828,0.004321400905306805,0.6555696062228569,0.03353987596913746,0.767708634754488,0.006626204479033193,0.5290969899665552,0.0195473434062909,0.6279264214046824,0.011192776274703355,0.585405268756982,0.023313207940797578,0.690719131092784,0.005560805125096117,0.8441541689405035,0.011464113501564373,0.9163630989820982,0.001520269656018462,0.6584095141930387,0.020857012403188834,0.8005969102567114,0.004023786997225108,0.15689988136291505,0.06592965126037598
LightGBM native trees=100 lr=0.1 leaves=15 child=10 sub=0.8 col=1.0 l2=0.0,LightGBM native categorical,1.0,0.1,10,100,15,0.0,0.8,0.8026293102768948,0.015580162541003044,0.8576057080881185,0.0024464224537460995,0.7133417316083843,0.020712423206584677,0.7908687902368389,0.007013747327033673,0.663618192099868,0.0420344422465572,0.7779373704677982,0.00463750637845561,0.523076923076923,0.037814833511980096,0.6486622073578595,0.017032246657540107,0.5841996937064611,0.03298628266401994,0.7072761647877785,0.008831217518360435,0.8419770269559288,0.010824948519517652,0.9297626712440341,0.0019446253646418046,0.658166265423673,0.018973292044688776,0.8196198147851904,0.0022563218529780067,0.1164330005645752,0.07423257827758789
LightGBM native trees=200 lr=0.03 leaves=31 child=10 sub=0.8 col=0.8 l2=1.0,LightGBM native categorical,0.8,0.03,10,200,31,1.0,0.8,0.8010316768610293,0.011606706649728871,0.865637422138765,0.0025510548863471845,0.7101174388002104,0.016001184937008677,0.8000205389487492,0.006453872446295097,0.6606622749492256,0.032008665546024974,0.7986271045518609,0.00465646008344884,0.5163879598662208,0.030329856986634453,0.660200668896321,0.015148323541997685,0.5791504065040651,0.025719724551360634,0.7227206632852615,0.008264271851644387,0.843956579333554,0.01047144009530536,0.932747681560025,0.0009594154449011898,0.6581250337044421,0.020828123704768813,0.8349485081028316,0.0018694604848042075,0.2645408630371094,0.06891512870788574
LightGBM native trees=100 lr=0.1 leaves=15 child=25 sub=1.0 col=0.8 l2=1.0,LightGBM native categorical,0.8,0.1,25,100,15,1.0,1.0,0.8019194611198406,0.01395575183577569,0.845491908574043,0.003155058287716632,0.7152077528345864,0.017996697888364027,0.7740783806127588,0.006289508775140975,0.6574710359533158,0.0348610240795278,0.7529163242313842,0.0073944082033975565,0.5304347826086957,0.028971783047100602,0.62190635451505,0.01414403374835482,0.5869175399193731,0.029052764837418095,0.6810615053387516,0.00874530159198135,0.8453843237005098,0.010392527090944507,0.9129727914256506,0.0021257948557501286,0.6579853606788106,0.023705106619919206,0.7905484723325004,0.0032200129086671298,0.11977601051330566,0.07524566650390625
LightGBM native trees=100 lr=0.1 leaves=15 child=25 sub=0.8 col=1.0 l2=1.0,LightGBM native categorical,1.0,0.1,25,100,15,1.0,0.8,0.8003216700998106,0.012515691981097475,0.8504616303260096,0.0024973416240925894,0.7115562556364827,0.014574577616232558,0.7791698899067454,0.007058724555902169,0.6557868162242261,0.0320516733852839,0.7668398678152113,0.003202799836442278,0.5224080267558529,0.020442417110282426,0.6272575250836121,0.016892115450400515,0.5814201041122213,0.02384169105440215,0.6899059925677837,0.00924908014696579,0.8429685658505978,0.010096345164898109,0.9163291580521049,0.0015448737578168403,0.6579326911212007,0.01848425966875758,0.799220795516297,0.0036388487570196107,0.12566170692443848,0.0732719898223877
LightGBM native trees=100 lr=0.03 leaves=31 child=10 sub=1.0 col=1.0 l2=1.0,LightGBM native categorical,1.0,0.03,10,100,31,1.0,1.0,0.801563748520491,0.011588575081527731,0.8442049033850332,0.002048882876413179,0.7070608081845661,0.016640949154843612,0.7657783017173816,0.003945601670856017,0.6663097092152275,0.02938583808207293,0.7632482837933818,0.00637591776121124,0.5056856187290969,0.02994385188708947,0.5986622073578595,0.00934062879181867,0.5746745596860857,0.027067213942859252,0.6709451581926945,0.005633862700747094,0.8452588638804446,0.01071001137153961,0.9056127042182208,0.0015018213146645184,0.6579305638415489,0.02540772633305515,0.7798251728069796,0.003124968912158261,0.15866751670837403,0.06900491714477539
LightGBM native trees=100 lr=0.1 leaves=15 child=10 sub=1.0 col=0.8 l2=1.0,LightGBM native categorical,0.8,0.1,10,100,15,1.0,1.0,0.8022756465316838,0.014839140226254634,0.8465568299651789,0.0031883213361629907,0.7141676855585167,0.01925872800048187,0.7737349431548118,0.0056276236489295976,0.6600080131264051,0.03745757682342984,0.7586168588791817,0.006183113488549902,0.5264214046822742,0.030403526895955862,0.6185618729096991,0.011395802700602541,0.5855054310285842,0.0317199307449584,0.6814202165021386,0.008249999670129649,0.8452663025089269,0.012078440616305714,0.9143886064161265,0.0020087871970900246,0.6578886404555051,0.024261961169358193,0.796189721399803,0.0021076681165641733,0.12297744750976562,0.07126965522766113
LightGBM native trees=100 lr=0.03 leaves=31 child=10 sub=1.0 col=0.8 l2=0.0,LightGBM native categorical,0.8,0.03,10,100,31,0.0,1.0,0.8024518479876311,0.013418609694837927,0.8480653873920663,0.0033920476002312363,0.7078789322822233,0.01640708718993382,0.7693137071612804,0.005510675271904303,0.669620572621061,0.03700684924674381,0.7755915745463036,0.00802135005965046,0.5063545150501673,0.025871678402426358,0.6015050167224081,0.01094775070457051,0.5763413794200466,0.02708604014192766,0.6774898833806174,0.008359998264573142,0.8455694923119943,0.0104991465726761,0.9118902536340825,0.0013795853334639821,0.6578205248366422,0.023051595180118657,0.7952844720620532,0.0037922539934999986,0.19499516487121582,0.06085448265075684
LightGBM native trees=100 lr=0.1 leaves=15 child=10 sub=0.8 col=0.8 l2=0.0,LightGBM native categorical,0.8,0.1,10,100,15,0.0,0.8,0.7994348314659867,0.011496606543782746,0.8551207241658396,0.0014212047994512256,0.7098848910583309,0.014530092400815148,0.7873616293548042,0.003873698245441693,0.6545570310225852,0.03186997020340483,0.7729795677922974,0.006025091463263026,0.5190635451505017,0.02532989462041669,0.6429765886287625,0.010321939372582585,0.5786147325215053,0.023605698203523467,0.7019242869374328,0.0047059583706348974,0.8427742188604895,0.010147357106529106,0.9257978012432583,0.0014814117169201768,0.6576863570700147,0.021318171587395074,0.8152938981380877,0.003363949067872907,0.11141986846923828,0.07684979438781739
LightGBM native trees=200 lr=0.03 leaves=31 child=25 sub=0.8 col=0.8 l2=0.0,LightGBM native categorical,0.8,0.03,25,200,31,0.0,0.8,0.8024515327793023,0.01108378723305957,0.8663474091076703,0.0030303260285605847,0.713006115148484,0.013027215857416913,0.8005571498493641,0.007049320032446392,0.6625101958043071,0.029936108191519,0.8011077976131009,0.005787552848737912,0.5224080267558529,0.01977491036668157,0.6603678929765886,0.016216425314248367,0.5839792426353946,0.02139232708732273,0.7238204553429368,0.009210574409157948,0.8425694006454287,0.011135065838062496,0.9353285160675282,0.0007844741685062082,0.6576125263252774,0.020840422405130798,0.8357234453238205,0.0025603939843852844,0.25496950149536135,0.0823066234588623
LightGBM native trees=200 lr=0.03 leaves=31 child=25 sub=0.8 col=0.8 l2=1.0,LightGBM native categorical,0.8,0.03,25,200,31,1.0,0.8,0.7983695849179119,0.010829247708569877,0.8610225462156965,0.0025911098377340573,0.7072367383418328,0.014008978572869174,0.7933011545246126,0.004963323218597298,0.6532000418716633,0.028683985409936812,0.789865400836612,0.006791306059367249,0.5130434782608696,0.023516248603674825,0.6489966555183948,0.011172771296648884,0.5744751687676591,0.022971266634112496,0.712459881385535,0.006815259702814539,0.8427845772605457,0.010134883068372336,0.9277876550330747,0.0009312338767928202,0.6570814579222682,0.020560118194450774,0.8238763608240548,0.0023810719638776372,0.27357983589172363,0.07359519004821777
