model,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate,variant_source,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha
Tree entropy depth=2 split=2 leaf=1,940,555,767,3372,0.7653532126375577,0.7217260401709491,0.5506736965436438,0.6287625418060201,0.8146895385358782,0.5871330418488445,0.7871889143242232,0.49600250501600013,0.3029818956336528,0.2653532126375577,prepruned_grid,entropy,2.0,2,1,0.0
Tree entropy depth=2 split=10 leaf=1,940,555,767,3372,0.7653532126375577,0.7217260401709491,0.5506736965436438,0.6287625418060201,0.8146895385358782,0.5871330418488445,0.7871889143242232,0.49600250501600013,0.3029818956336528,0.2653532126375577,prepruned_grid,entropy,2.0,10,1,0.0
Tree entropy depth=2 split=25 leaf=1,940,555,767,3372,0.7653532126375577,0.7217260401709491,0.5506736965436438,0.6287625418060201,0.8146895385358782,0.5871330418488445,0.7871889143242232,0.49600250501600013,0.3029818956336528,0.2653532126375577,prepruned_grid,entropy,2.0,25,1,0.0
Tree entropy depth=2 split=25 leaf=10,940,555,767,3372,0.7653532126375577,0.7217260401709491,0.5506736965436438,0.6287625418060201,0.8146895385358782,0.5871330418488445,0.7871889143242232,0.49600250501600013,0.3029818956336528,0.2653532126375577,prepruned_grid,entropy,2.0,25,10,0.0
Tree entropy depth=3 split=2 leaf=1,542,953,232,3907,0.7896698615548455,0.6532448097507921,0.7002583979328165,0.3625418060200669,0.9439478134815172,0.4777434993389158,0.8137319291735923,0.5745289247076186,0.13738019169329074,0.2653532126375577,prepruned_grid,entropy,3.0,2,1,0.0
Tree entropy depth=3 split=10 leaf=1,542,953,232,3907,0.7896698615548455,0.6532448097507921,0.7002583979328165,0.3625418060200669,0.9439478134815172,0.4777434993389158,0.8137319291735923,0.5745289247076186,0.13738019169329074,0.2653532126375577,prepruned_grid,entropy,3.0,10,1,0.0
Tree entropy depth=3 split=25 leaf=1,542,953,232,3907,0.7896698615548455,0.6532448097507921,0.7002583979328165,0.3625418060200669,0.9439478134815172,0.4777434993389158,0.8137319291735923,0.5745289247076186,0.13738019169329074,0.2653532126375577,prepruned_grid,entropy,3.0,25,1,0.0
Tree entropy depth=3 split=25 leaf=10,542,953,232,3907,0.7896698615548455,0.6532448097507921,0.7002583979328165,0.3625418060200669,0.9439478134815172,0.4777434993389158,0.8137319291735923,0.5745289247076186,0.13738019169329074,0.2653532126375577,prepruned_grid,entropy,3.0,25,10,0.0
Tree entropy depth=4 split=2 leaf=1,689,806,359,3780,0.7932197373091942,0.687066819332542,0.6574427480916031,0.4608695652173913,0.9132640734476927,0.5418796696814786,0.8281171594773915,0.6153846971401219,0.18601348952786653,0.2653532126375577,prepruned_grid,entropy,4.0,2,1,0.0
Tree entropy depth=4 split=10 leaf=1,689,806,359,3780,0.7932197373091942,0.687066819332542,0.6574427480916031,0.4608695652173913,0.9132640734476927,0.5418796696814786,0.8281171594773915,0.6153846971401219,0.18601348952786653,0.2653532126375577,prepruned_grid,entropy,4.0,10,1,0.0
Tree entropy depth=4 split=25 leaf=1,689,806,359,3780,0.7932197373091942,0.687066819332542,0.6574427480916031,0.4608695652173913,0.9132640734476927,0.5418796696814786,0.8281171594773915,0.6153846971401219,0.18601348952786653,0.2653532126375577,prepruned_grid,entropy,4.0,25,1,0.0
Tree entropy depth=4 split=25 leaf=10,689,806,359,3780,0.7932197373091942,0.687066819332542,0.6574427480916031,0.4608695652173913,0.9132640734476927,0.5418796696814786,0.8281171594773915,0.6153846971401219,0.18601348952786653,0.2653532126375577,prepruned_grid,entropy,4.0,25,10,0.0
Tree entropy depth=5 split=2 leaf=1,777,718,446,3693,0.7933972310969116,0.7059884724874168,0.6353229762878169,0.5197324414715719,0.8922445035032617,0.5717439293598234,0.8275042603960532,0.6224779654859409,0.21707490237841676,0.2653532126375577,prepruned_grid,entropy,5.0,2,1,0.0
Tree entropy depth=5 split=10 leaf=1,777,718,446,3693,0.7933972310969116,0.7059884724874168,0.6353229762878169,0.5197324414715719,0.8922445035032617,0.5717439293598234,0.8275042603960532,0.6224779654859409,0.21707490237841676,0.2653532126375577,prepruned_grid,entropy,5.0,10,1,0.0
